,High,high_lag_1,high_lag_2,high_lag_3,high_lag_4,high_lag_5,high_lag_6,high_lag_7,high_lag_8,high_lag_9,high_lag_10,high_lag_11,high_lag_12,high_lag_13,high_lag_14,high_lag_15,high_lag_16,high_lag_17,high_lag_18,high_lag_19,high_lag_20,high_lag_21,high_lag_22,high_lag_23,high_lag_24,high_lag_25,high_lag_26,high_lag_27,high_lag_28,high_lag_29,high_lag_30,Open,open_lag_1,open_lag_2,open_lag_3,open_lag_4,open_lag_5,open_lag_6,open_lag_7,open_lag_8,open_lag_9,open_lag_10,open_lag_11,open_lag_12,open_lag_13,open_lag_14,open_lag_15,open_lag_16,open_lag_17,open_lag_18,open_lag_19,open_lag_20,open_lag_21,open_lag_22,open_lag_23,open_lag_24,open_lag_25,open_lag_26,open_lag_27,open_lag_28,open_lag_29,open_lag_30,Low,low_lag_1,low_lag_2,low_lag_3,low_lag_4,low_lag_5,low_lag_6,low_lag_7,low_lag_8,low_lag_9,low_lag_10,low_lag_11,low_lag_12,low_lag_13,low_lag_14,low_lag_15,low_lag_16,low_lag_17,low_lag_18,low_lag_19,low_lag_20,low_lag_21,low_lag_22,low_lag_23,low_lag_24,low_lag_25,low_lag_26,low_lag_27,low_lag_28,low_lag_29,low_lag_30,Volume,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_4,vol_lag_5,vol_lag_6,vol_lag_7,vol_lag_8,vol_lag_9,vol_lag_10,vol_lag_11,vol_lag_12,vol_lag_13,vol_lag_14,vol_lag_15,vol_lag_16,vol_lag_17,vol_lag_18,vol_lag_19,vol_lag_20,vol_lag_21,vol_lag_22,vol_lag_23,vol_lag_24,vol_lag_25,vol_lag_26,vol_lag_27,vol_lag_28,vol_lag_29,vol_lag_30,Close_1
High,1.0,0.9997867160613406,0.9995265168704377,0.9992666063645239,0.9990136521763694,0.9987541572585895,0.998492170244543,0.9982549223364398,0.9980033836246704,0.9977495020418156,0.9974815053327181,0.997214721807931,0.996956740314926,0.9966906920215881,0.9964249483269324,0.9961670174921491,0.9959173260121159,0.9956475766742037,0.9953859138517009,0.9951486087024687,0.9949292659062506,0.9946959634189186,0.9944683908528547,0.9942524234430592,0.9940356608588992,0.9938133262946204,0.9935923452043306,0.9933931627139836,0.9931930300224316,0.9929855272016409,0.9927751589864888,0.9998968793721466,0.9996388026139524,0.9993892252953448,0.9991272746330534,0.9988807920604192,0.9986218883379104,0.9983754595710813,0.9981209782721815,0.9978586136447191,0.9975994109950677,0.9973372888345401,0.9970822029397,0.9968241704525501,0.9965554433031595,0.9962835936033747,0.9960239881983513,0.9957618535565413,0.995484889624229,0.995228467072425,0.99498939144607,0.9947591854837348,0.9945241315258403,0.9942968934442766,0.9940658516041128,0.9938444784233261,0.9936269303151407,0.9934041643059338,0.9932029968109866,0.9929915871578789,0.992778479686831,0.9925677489592185,0.9997935137470378,0.9996709416459627,0.9994212845003008,0.9991692956626423,0.9989191968970609,0.9986663719762372,0.9984074060361823,0.9981713903386538,0.997905167952968,0.9976568932359314,0.9973915764373809,0.9971284931990263,0.9968706773903973,0.9965997895116697,0.9963310974167955,0.9960620895708927,0.9957944253706725,0.9955214663673249,0.9952524513442359,0.9950065325078181,0.9947600007266193,0.9945151222486596,0.9942802255088352,0.9940498666700764,0.9938214666909257,0.9935917630045829,0.9933771688077662,0.9931615319701976,0.9929531979664525,0.9927441120813089,0.9925247279442502,0.41153107059102834,0.40939701080429014,0.40908164830001587,0.4090914496145266,0.4089625819409963,0.4090099094636171,0.40924539871996335,0.4092792873773612,0.4093506330201446,0.4090010120230263,0.4084327199990049,0.408345818383943,0.40835965206833214,0.40830292054641526,0.40803189127738576,0.40778174704213194,0.40769811971107167,0.4076051897387767,0.40771085843665855,0.4079093403901736,0.4082040722178055,0.4082372812892848,0.40759103774826355,0.4069880604056744,0.4067889600489543,0.40645210251562586,0.40610539239536536,0.4056799356093069,0.40535886201243565,0.4053058543979473,0.40508699706763024,0.999547165630653
high_lag_1,0.9997867160613406,1.0,0.9997880149453536,0.9995319598159172,0.9992732478512613,0.9990205277354111,0.9987611024818803,0.9984982541986179,0.9982617132393947,0.9980102272663791,0.9977559737201744,0.9974876357120176,0.997217752774994,0.9969569858815279,0.9966898660969071,0.9964237943100244,0.9961645952787469,0.9959148225780113,0.9956479765864136,0.9953873516535405,0.9951489435428008,0.9949283256332444,0.9946935056348295,0.9944687106378904,0.9942536124056804,0.9940363289117419,0.993816338223706,0.9936022353678853,0.993405812873942,0.9931980376297593,0.9929894914158357,0.9998179368937811,0.9998968483069436,0.9996405578119908,0.9993948146011866,0.999134526462325,0.9988858087407232,0.9986284727587381,0.9983815869083964,0.998125749183357,0.9978657476245811,0.9976064481503656,0.9973411468761193,0.997083206240796,0.9968233007295618,0.9965540937248175,0.9962813128889361,0.9960215831327048,0.9957590019612651,0.9954860328815304,0.9952292277247227,0.9949886315760492,0.9947574896601326,0.9945213742266873,0.9942955799899309,0.9940663833231712,0.9938460204096479,0.9936289608534503,0.9934156664841659,0.9932078898873508,0.9929956842082638,0.9927816291687122,0.9995374847085078,0.9997937095915056,0.9996712950235439,0.9994246650670982,0.9991759837158168,0.9989244951531552,0.9986727623161096,0.998413803601639,0.9981754351997366,0.9979095381079873,0.9976622696139199,0.9973963154320916,0.9971304238068357,0.9968702284707206,0.9965980162879672,0.9963292096165228,0.9960592276986631,0.9957915088375003,0.995519015709824,0.9952535516355647,0.9950055649153745,0.994758598765166,0.9945116251741822,0.9942782582626348,0.9940481269231651,0.993820706163279,0.9935929367743814,0.9933796865219646,0.9931666156729778,0.9929573023815013,0.9927447028646041,0.41289171733327645,0.4110417357280292,0.40911825482252356,0.40898984258797466,0.40904356771314604,0.4088809830991827,0.40902901774531464,0.4091639580231133,0.4091405036036685,0.4092256526270662,0.4083619252675008,0.40824842126520194,0.40810154529529036,0.4081205036171614,0.4079875837214126,0.40766805337742923,0.4072509201628323,0.4071621870410684,0.4071398274765344,0.4074003340377272,0.4077122663583353,0.4078831731818248,0.4076441294549116,0.4071029309015559,0.4065464713019729,0.406278530295315,0.4060742703813641,0.40563904297665854,0.40526167719013473,0.40504374372406415,0.4048219131433212,0.9992674162080096
high_lag_2,0.9995265168704377,0.9997880149453536,1.0,0.999789282034298,0.999533745327214,0.9992750517311688,0.9990222693942101,0.9987622541373272,0.9984996820370332,0.9982630826920031,0.9980112802873375,0.9977567333503998,0.9974866499951262,0.9972155874077894,0.9969544759238965,0.9966871323748804,0.9964211938097436,0.9961616944772361,0.9959119139022298,0.9956453480466744,0.9953841168577237,0.9951451386797597,0.9949241337242147,0.9946898892774277,0.9944653702088928,0.9942499231583645,0.9940337480199962,0.9938180149417933,0.9936057572067458,0.9934041505446852,0.9931956599622657,0.999505415674293,0.9998187902434581,0.9998968097470342,0.9996418268857321,0.9993968861466622,0.9991352749480061,0.9988872891983814,0.998629584709986,0.9983818691315456,0.9981272388567627,0.9978670762597425,0.9976059163532136,0.9973392682240007,0.9970807978450004,0.9968206938424079,0.9965515499854346,0.9962784933998129,0.9960188071168695,0.9957563054570823,0.9954830274876646,0.9952255281725257,0.9949845520123226,0.9947531647828587,0.994517073753292,0.9942918543070716,0.994063030091686,0.9938428203244758,0.9936316920149253,0.9934139378407545,0.9932055987889788,0.9929927472391922,0.9991864093200205,0.9995403573846044,0.9997937309998308,0.9996715783602078,0.9994264261583433,0.9991768949463768,0.9989258806003158,0.9986740493870878,0.998413732404862,0.9981754235115874,0.9979099296889734,0.9976622181598886,0.997394804898098,0.9971280760693351,0.9968677775521726,0.9965953080319463,0.9963279444013473,0.9960566353611867,0.9957881233189255,0.9955161745286921,0.9952498116605981,0.9950015577054844,0.9947545108413373,0.9945071641383458,0.9942736904599216,0.9940437327767848,0.9938170567580975,0.9935898895707564,0.9933780645898047,0.9931643113648598,0.9929529521698401,0.4145340289157742,0.4123701610781792,0.41075191688638807,0.4090294945282703,0.40894815244334304,0.4089657874725529,0.4089109760402699,0.4089512775157899,0.40902459676013175,0.409015961085993,0.40853177588383427,0.4081734793423023,0.40799503842601514,0.40785363216503134,0.40778973549264086,0.4076038237161655,0.40709867969952024,0.4066754411001925,0.40666593522596073,0.40681406832159683,0.4071978460544856,0.40737522073113336,0.407242321728811,0.40712290580121324,0.40663356252206306,0.405999992472636,0.4058793156453834,0.4055773047630729,0.4051954004478594,0.40493119467541644,0.40452699310652945,0.99895179906099
high_lag_3,0.9992666063645239,0.9995319598159172,0.999789282034298,1.0,0.9997891618766181,0.999533436283567,0.9992745375607169,0.9990214390439569,0.9987612948334812,0.9984985161901311,0.998261667678531,0.9980096097636386,0.997754680225829,0.9974850253548039,0.9972143285385601,0.9969531031608474,0.9966872930160443,0.9964208373145435,0.996158406870977,0.9959081712178934,0.9956415067452565,0.995380401584984,0.9951421356147307,0.9949195312613972,0.994684970522516,0.994460264064641,0.9942446922960332,0.9940301673504167,0.9938153797589446,0.9936003670580112,0.9933983789019484,0.9992077927704576,0.999509857604529,0.9998196051899366,0.9998967168813094,0.9996416578230802,0.9993963279444916,0.9991345956844161,0.9988863471349004,0.998628320654069,0.9983806634239588,0.9981258138091668,0.9978651003437347,0.9976041071009175,0.9973382588732143,0.9970798644666594,0.9968208193275264,0.9965512616105012,0.9962787230576983,0.9960152083688604,0.9957524939125394,0.9954793434196024,0.9952220102789829,0.9949815895665098,0.9947488242804492,0.9945120293190923,0.9942865574655309,0.9940575466827793,0.9938397339724512,0.9936262986727559,0.9934082018402753,0.9931995212200349,0.9988328769515606,0.9991947558113347,0.999542648724542,0.9997937500736654,0.9996713613627148,0.9994258989216143,0.9991762270775759,0.9989250033602135,0.9986728294040651,0.9984122637499443,0.9981737978310165,0.9979080218835685,0.9976602142896813,0.997393504503262,0.9971278744016919,0.9968671889860536,0.9965985657338792,0.9963286116150943,0.9960552487331262,0.9957842930268104,0.9955126188689365,0.9952461394212325,0.9949998108886111,0.9947505052605785,0.994502708714318,0.9942686050012673,0.9940382031408577,0.9938114024530303,0.9935845089245613,0.9933723024236044,0.9931579616420508,0.4161260022776007,0.41398195792326403,0.41207049363337667,0.41066819649971154,0.40899522011139977,0.4088752848766537,0.40900789925921865,0.40883814032551274,0.40881246969594404,0.40890171054341645,0.40826812627384396,0.40834051690952755,0.4079122185442664,0.4077396516548636,0.40750861210383293,0.4073872095124389,0.4069972925712292,0.40648527318006283,0.4061495330485487,0.4063261998077276,0.4066072832561438,0.4068458458952819,0.40668783658867486,0.4066888902064347,0.4066269953850046,0.40605267360328834,0.4055805762371035,0.405352899438474,0.4051095481594327,0.4048508134181473,0.4043830721986732,0.9986644755604102
high_lag_4,0.9990136521763694,0.9992732478512613,0.999533745327214,0.9997891618766181,1.0,0.9997889676571479,0.9995330084252392,0.9992738484886654,0.9990205348643791,0.998760157996806,0.9984971172812376,0.9982600356423063,0.9980079043293271,0.9977537824880696,0.9974846579505949,0.9972138625361303,0.9969544943950172,0.996688118881187,0.9964180634693339,0.9961549958341721,0.9959047931698594,0.995638412180705,0.9953782525630275,0.995137873582145,0.9949148308343263,0.9946801118324048,0.9944549909018822,0.9942404756518802,0.9940266931290042,0.9938097039892344,0.9935943715280348,0.9989022105876434,0.9992132805906561,0.9995110205113031,0.9998194861427356,0.9998966358153254,0.9996413871924437,0.9993957603074255,0.9991337742062139,0.9988853300867079,0.9986270892482323,0.9983792049847526,0.9981241071610607,0.9978639037796796,0.9976040191106709,0.9973383024474323,0.9970811931801192,0.996821710774624,0.9965527840943001,0.9962755173243601,0.9960118086809034,0.9957494211693249,0.9954765498538487,0.9952199413099152,0.9949778141207517,0.9947440590172875,0.9945068577865402,0.9942811269550048,0.9940537014366322,0.9938340643880454,0.9936203427023093,0.9934019633532822,0.9984940661982558,0.9988426729012991,0.9991977304790616,0.9995427647078672,0.9997935545971628,0.9996710942770893,0.9994253548098858,0.9991754494186281,0.9989241128736868,0.998671632083739,0.9984107553853192,0.9981720731436754,0.9979064902740258,0.9976597543252161,0.9973944176366983,0.9971283643279704,0.9968720823413326,0.9966005795087775,0.9963282867858152,0.9960517966131863,0.9957813841292202,0.995509626178659,0.995245512115493,0.9949964962506374,0.9947466636203678,0.9944980416981284,0.994263219990637,0.9940325242945838,0.9938057385157855,0.9935785169568014,0.9933660571907291,0.4174645767154327,0.4155682440600554,0.4136810191585029,0.4119886289917629,0.41063662527488937,0.40892368919498545,0.40892031001590645,0.40893642676964115,0.40869959122176697,0.4086900335227219,0.4081414970021067,0.40807621686987045,0.4080777187688042,0.40765523912798807,0.40739147244322516,0.4071017478771313,0.40677206137920324,0.4063752324498233,0.4059526156588053,0.40580645919412217,0.4061183792397537,0.4062516694000874,0.4061473795432421,0.406126702955377,0.40618665184586566,0.4060383148766562,0.40562885180435954,0.4050473055949653,0.40487957820867554,0.4047618282560775,0.40429557615911493,0.9983677863599558
high_lag_5,0.9987541572585895,0.9990205277354111,0.9992750517311688,0.999533436283567,0.9997889676571479,1.0,0.9997887679672606,0.9995325672952423,0.9992731604226386,0.9990196126849475,0.9987589793319264,0.9984956825842434,0.998258627992146,0.99800740967813,0.997753877781831,0.9974846627271586,0.9972158055765294,0.9969558640563311,0.9966857030651295,0.9964149556110012,0.9961519417985839,0.9959020833324282,0.9956367139686925,0.9953742813775136,0.9951334098422933,0.9949102304486396,0.9946750083621941,0.9944507673669636,0.9942369369151619,0.9940211103623963,0.9938038205518624,0.9986114695255645,0.9989078504645911,0.9992143895069139,0.9995106532923259,0.9998193156198804,0.9998966528189911,0.9996410440636246,0.9993951848247589,0.9991330230368196,0.9988842998670736,0.9986258177119655,0.998377775404115,0.9981232890564072,0.9978642802517463,0.9976045495771322,0.9973401747806488,0.9970826209933689,0.9968238092772509,0.9965499087234979,0.9962724406469344,0.9960091113487647,0.9957470483865776,0.9954749390929987,0.9952165192549364,0.994973312120835,0.9947391133224182,0.9945016206712343,0.9942772526828532,0.9940481305164237,0.9938282156880146,0.9936142350043843,0.9981565916286061,0.9985041263467759,0.998845659006395,0.9991976536912643,0.9995423318354663,0.999793442050493,0.9996707814015788,0.9994248049619323,0.9991748523593293,0.9989231912653802,0.9986703696793544,0.9984092666431529,0.9981708887057448,0.9979064597407082,0.9976611915118136,0.9973954230336184,0.9971339225112701,0.9968746903910776,0.9966007671534168,0.9963251580251933,0.996049280892746,0.9957787962585728,0.9955095267080216,0.995242588733415,0.9949930247160442,0.9947423136149447,0.9944928842178863,0.9942577178743975,0.9940269603882816,0.9937998657660063,0.9935724702158443,0.4192669111630702,0.4169060037806118,0.4152676757038314,0.4136003298691732,0.4119583094962621,0.4105663476107952,0.40896962113481056,0.4088491914750255,0.4087980374718554,0.40857727169632263,0.4079259288385353,0.4079493787478129,0.4078127852937825,0.40782039809074827,0.40730610666729256,0.40698331604231436,0.4064838400218552,0.4061472561278802,0.4058405502295705,0.40560853863766383,0.40559812472537793,0.40576149256262745,0.4055494061866649,0.40558362936035375,0.4056222401549032,0.4055952539428595,0.4056131874328041,0.4050937001299525,0.40457216295016696,0.40453080905365224,0.40420445078826384,0.9980912085700993
high_lag_6,0.998492170244543,0.9987611024818803,0.9990222693942101,0.9992745375607169,0.9995330084252392,0.9997887679672606,1.0,0.9997885797377017,0.9995321192514725,0.999272467535477,0.999018671846115,0.9987577860600821,0.9984945434690253,0.9982584781052013,0.9980078801883523,0.9977542754988621,0.9974870540450539,0.9972176071234266,0.9969537735899882,0.9966828916007695,0.9964122103583969,0.9961495566229076,0.9959007676853955,0.9956330362689332,0.9953700677722195,0.9951290492675148,0.9949053297831205,0.9946708768350334,0.994447275994112,0.9942314961688867,0.99401538279302,0.9983056634574377,0.9986171279353979,0.9989088246210107,0.999213775071853,0.999510182962962,0.9998192970564822,0.9998965556989325,0.9996407087192266,0.9993947090023215,0.9991322104705841,0.9988832526918857,0.9986246527622132,0.9983772867242209,0.9981240516623465,0.9978652081593006,0.9976068624294196,0.9973420314114254,0.9970851688588891,0.9968212418308104,0.9965471462716432,0.9962700767185116,0.9960070927938416,0.9957458325982932,0.9954718436568425,0.9952122795613418,0.9949685953622623,0.9947340950877709,0.9944978173952257,0.994271838771791,0.9940424383058236,0.9938222701089748,0.9978315011418191,0.9981667228287475,0.9985070236844202,0.9988453420596017,0.9991968983937268,0.9995420134195382,0.999793251908291,0.9996704677604576,0.9994244867711456,0.9991741997200368,0.9989221759619932,0.9986691424600825,0.998408374581071,0.9981712349707339,0.9979083047100625,0.9976626166503708,0.9974014942547886,0.9971369902161458,0.9968752997672782,0.9965979439562264,0.9963229935734842,0.9960470457823208,0.9957791277930577,0.9955069569471761,0.9952394415171869,0.9949889681256188,0.9947374018161257,0.9944875857061137,0.994252309198875,0.9940212504333307,0.9937940385451672,0.4205433093753635,0.4187087455989442,0.416605911575909,0.4151880527700479,0.4135711706807701,0.41188899011162,0.4106136492802912,0.40889878265449214,0.4087108242106918,0.4086758858399426,0.40781074376092447,0.4077336031338998,0.4076855743615601,0.40755502594159015,0.4074708168741548,0.406897130489806,0.4063637364783392,0.40585715114615467,0.4056111561249168,0.405495851521138,0.405399957123138,0.4052402900717612,0.40505669332245736,0.40498376242177186,0.40507760245157753,0.405028846086228,0.40516897634110327,0.4050768135423387,0.40461760971415645,0.404222623934348,0.40397192235806006,0.9978232671967943
high_lag_7,0.9982549223364398,0.9984982541986179,0.9987622541373272,0.9990214390439569,0.9992738484886654,0.9995325672952423,0.9997885797377017,1.0,0.9997884041514505,0.999531714356432,0.9992718033740131,0.9990177581681675,0.998756790621775,0.9984943488367006,0.9982588440925942,0.9980081652593377,0.9977564245764189,0.9974886364725545,0.9972155870076334,0.9969511151334239,0.9966802465947088,0.9964098450893357,0.9961481358979138,0.995897223373406,0.9956290109637413,0.9953658575101326,0.9951244077485829,0.9949017350269077,0.9946680038355812,0.994442194801339,0.9942260948814331,0.9980346422215141,0.998310471593662,0.9986175332282329,0.9989078566287655,0.9992130369151228,0.9995097973938196,0.9998191298700845,0.9998964579025462,0.9996404080224696,0.9993942052190048,0.9991314651989741,0.9988822647579183,0.9986241770491023,0.9983779322470329,0.9981248396533451,0.9978672810770819,0.9976084983846192,0.9973443028017086,0.9970827260097123,0.996818604310119,0.996544824589324,0.9962680305150972,0.9960057662568829,0.9957427800936203,0.9954677624590986,0.9952077701426045,0.9949638093440987,0.9947308875912367,0.9944927679798581,0.9942664908785546,0.9940367972722045,0.9975404539841951,0.9978405918383658,0.9981688681147781,0.9985062125509128,0.9988442437342192,0.9991961915045598,0.9995415781986668,0.9997930596963865,0.9996702854366804,0.9994240031602417,0.9991734144905855,0.9989211613928244,0.9986683329688268,0.9984086255739075,0.9981728857356746,0.9979095342793688,0.9976682640056098,0.9974042675667502,0.997137428996438,0.996872623033696,0.9965958033675247,0.9963207660890566,0.996047175174031,0.9957765498874817,0.9955038307572784,0.9952354712832256,0.9949842641019614,0.9947323835391895,0.9944825595489845,0.9942469469019056,0.9940156181423325,0.4219891355612399,0.4199893359822364,0.4184107314847741,0.4165264715566183,0.41515886004988406,0.4135020691995285,0.41193567351644345,0.41054308797804,0.4087602875296345,0.4085883690533327,0.407914623088026,0.40761854559766747,0.407470337507168,0.40742836776740926,0.40720654216840096,0.4070636848908039,0.40628098122328044,0.40574050626927843,0.4053235452218849,0.4052675460468466,0.40528750827443644,0.40504332688020567,0.4045392315565558,0.40449359759887055,0.4044797214630196,0.4044869367678394,0.40460399901867716,0.40463496471451793,0.4046029655829345,0.40426938416397273,0.40366640756271155,0.9975403259159978
high_lag_8,0.9980033836246704,0.9982617132393947,0.9984996820370332,0.9987612948334812,0.9990205348643791,0.9992731604226386,0.9995321192514725,0.9997884041514505,1.0,0.9997882016086305,0.9995312622669709,0.9992711004644168,0.9990171584887503,0.9987572065062691,0.9984953967981591,0.9982598385639743,0.9980112121442664,0.9977588899677385,0.9974871156140621,0.9972133200373664,0.9969489352222243,0.9966784404910652,0.9964091234645551,0.9961449894903457,0.9958935342475282,0.9956251539113429,0.9953613845763256,0.9951206184263977,0.9948985604736279,0.9946629340674027,0.9944368383905859,0.9977562685265567,0.998040055337833,0.9983110384680582,0.9986163876407346,0.9989068069768078,0.9992124832369256,0.9995093346249652,0.9998189754027711,0.9998964884652074,0.9996400728098321,0.9993936358158232,0.9991308131965625,0.9988823336014258,0.9986255344683584,0.9983794744336628,0.9981278026646805,0.9978697891788693,0.9976117111160485,0.9973422775409535,0.9970805197331264,0.9968168334255688,0.9965434058333426,0.9962674255377467,0.9960032483638147,0.9957390756533002,0.9954635318267021,0.9952032031928372,0.9949603445122109,0.9947258682910397,0.994487468459506,0.9942609408407082,0.9972330671254838,0.99755040035654,0.9978431007862087,0.9981680062140776,0.9985048054533024,0.9988432963473154,0.9991954383297285,0.9995411462532536,0.999793134169124,0.9996701364982923,0.9994234788751286,0.9991726856643937,0.9989208165723815,0.9986692599535995,0.99841109226297,0.9981749366371606,0.9979163069480054,0.9976720113759232,0.997405514494088,0.997135160237387,0.9968710576477047,0.9965941710507442,0.9963217561945265,0.996045203790134,0.9957739875776669,0.9955003134171632,0.9952310462159867,0.9949794286670842,0.9947273875250768,0.9944772524866874,0.9942415587684404,0.4231877031868315,0.4214322065768034,0.419690866526701,0.4183330025452446,0.41649916666418985,0.41509142948938993,0.41355132161330316,0.41186663454761463,0.4104057195103904,0.4086382217351411,0.4078197968545618,0.4077222161992854,0.4073542688082042,0.4072121169700665,0.4070780073155042,0.4067968045401634,0.40644278514153864,0.4056526459588916,0.40520293728058926,0.40497799835242426,0.4050586466440857,0.404928926165715,0.40433588691987715,0.4039714197383196,0.4039856320994595,0.40388387980193496,0.40405907586272877,0.4040656156935243,0.4041576056478949,0.4042529433262482,0.40370908343230316,0.9972726323710134
high_lag_9,0.9977495020418156,0.9980102272663791,0.9982630826920031,0.9984985161901311,0.998760157996806,0.9990196126849475,0.999272467535477,0.999531714356432,0.9997882016086305,1.0,0.9997879973034157,0.9995308111415488,0.9992707925957475,0.9990179275659867,0.9987586342860909,0.9984967508565799,0.9982633066804146,0.9980140942479879,0.9977577002203025,0.9974851555953238,0.9972114556556801,0.9969474748031228,0.9966781019604809,0.996406278901715,0.9961415698930461,0.9958899681976905,0.9956209250748558,0.9953577287765341,0.9951175284526379,0.99489367035216,0.9946577588096684,0.9974742200948536,0.9977616889441507,0.9980405104009685,0.9983096387662834,0.9986150610361637,0.9989060040227264,0.9992117437247477,0.9995088969146446,0.9998189674883456,0.9998963928362434,0.9996397308619244,0.9993932714354828,0.9991312084014283,0.9988840719200159,0.9986274572815065,0.9983828580873408,0.9981307316269071,0.9978734400834942,0.9976099962175857,0.997340377196329,0.9970790853657461,0.9968157793246653,0.9965431956227242,0.9962652421332502,0.9959998342660491,0.9957351242630095,0.9954592178659241,0.9951998554811253,0.9949555055086279,0.9947207603482079,0.9944821083604537,0.9969220341696214,0.9972430787251282,0.9975528468899808,0.9978420197428468,0.9981662879293522,0.9985035710368569,0.998842216828523,0.9991946827999545,0.9995410326332439,0.9997931408825291,0.9996698648832888,0.9994230125097803,0.9991726506308112,0.9989221070329535,0.998672138605248,0.9984135302929268,0.99818220280599,0.997920489417095,0.9976736672070279,0.9974035535667114,0.9971339374796007,0.996869785137798,0.9965955869707902,0.9963201476766077,0.996042987817079,0.9957707907255,0.9954961635692868,0.995226443890008,0.9949746273587697,0.9947222829813422,0.9944721024804072,0.4244952782647335,0.4226306868226947,0.42113416396593295,0.4196140180469052,0.41830696598650774,0.41643270368118573,0.41514198503230465,0.4134833432067028,0.41173007650463533,0.41028465863854147,0.40786769905263126,0.4076272633594986,0.4074577424946317,0.40709573110685426,0.4068611058216347,0.40666749776897854,0.4061742390137404,0.40581321148130667,0.40511391481579617,0.40485682089770897,0.40476881316311414,0.4046993805161948,0.4042196194588354,0.4037666958647868,0.40346201847726637,0.4033880067157358,0.4034548269772187,0.40351911272822377,0.4035869052043204,0.4038067780244536,0.40369147151963414,0.9969660573192057
