Date,High,open_lag_1,low_lag_2,low_lag_1,high_lag_1,Low,Close_1
2002-06-13,9625.4,,,,,9491.86,9474.21
2002-06-14,9498.92,9612.87,,9491.86,9625.4,9260.99,9687.42
2002-06-17,9687.77,9498.92,9491.86,9260.99,9498.92,9476.5,9706.12
2002-06-18,9721.75,9476.5,9260.99,9476.5,9687.77,9636.96,9561.57
2002-06-19,9733.39,9684.52,9476.5,9636.96,9721.75,9542.74,9431.77
2002-06-20,9573.89,9702.0,9636.96,9542.74,9733.39,9425.88,9253.79
2002-06-21,9430.66,9561.64,9542.74,9425.88,9573.89,9220.63,9281.82
2002-06-24,9369.95,9430.66,9425.88,9220.63,9430.66,9083.56,9126.82
2002-06-25,9413.08,9252.47,9220.63,9083.56,9369.95,9111.25,9120.11
2002-06-26,9160.81,9285.56,9083.56,9111.25,9413.08,8926.57,9269.92
2002-06-27,9269.92,9108.22,9111.25,8926.57,9160.81,9034.96,9243.26
2002-06-28,9362.82,9122.12,8926.57,9034.96,9269.92,9237.73,9109.79
2002-07-01,9327.44,9270.33,9034.96,9237.73,9362.82,9106.96,9007.75
2002-07-02,9135.82,9239.25,9237.73,9106.96,9327.44,8960.54,9054.97
2002-07-03,9070.89,9104.95,9106.96,8960.54,9135.82,8897.54,9379.5
2002-07-05,9379.85,9006.37,8960.54,8897.54,9070.89,9061.54,9274.9
2002-07-08,9410.38,9061.54,8897.54,9061.54,9379.85,9240.36,9096.09
2002-07-09,9318.1,9375.7,9061.54,9240.36,9410.38,9081.96,8813.5
2002-07-10,9134.23,9273.38,9240.36,9081.96,9318.1,8811.7,8801.53
2002-07-11,8854.9,9098.16,9081.96,8811.7,9134.23,8605.34,8684.53
2002-07-12,8849.22,8812.12,8811.7,8605.34,8854.9,8599.66,8639.19
2002-07-15,8681.9,8805.33,8605.34,8599.66,8849.22,8244.87,8473.11
2002-07-16,8635.66,8681.28,8599.66,8244.87,8681.9,8406.45,8542.48
2002-07-17,8723.37,8635.31,8244.87,8406.45,8635.66,8452.76,8409.49
2002-07-18,8621.95,8476.21,8406.45,8452.76,8723.37,8404.43,8019.26
2002-07-19,8406.1,8540.47,8452.76,8404.43,8621.95,7966.72,7784.58
2002-07-22,8103.86,8406.1,8404.43,7966.72,8406.1,7717.29,7702.34
2002-07-23,7894.41,8015.04,7966.72,7717.29,8103.86,7682.89,8191.29
2002-07-24,8202.02,7785.55,7717.29,7682.89,7894.41,7532.66,8186.31
2002-07-25,8309.39,7698.46,7682.89,7532.66,8202.02,7945.95,8264.39
2002-07-26,8267.72,8185.89,7532.66,7945.95,8309.39,8114.59,8711.88
2002-07-29,8711.88,8192.61,7945.95,8114.59,8267.72,8267.99,8680.03
2002-07-30,8762.14,8267.99,8114.59,8267.99,8711.88,8540.12,8736.59
2002-07-31,8736.73,8707.03,8267.99,8540.12,8762.14,8537.1,8506.62
2002-08-01,8734.31,8678.65,8540.12,8537.1,8736.73,8479.9,8313.13
2002-08-02,8508.77,8732.58,8537.1,8479.9,8734.31,8203.82,8043.63
2002-08-05,8312.92,8504.96,8479.9,8203.82,8508.77,8030.82,8274.09
2002-08-06,8418.15,8312.92,8203.82,8030.82,8312.92,8049.93,8456.15
2002-08-07,8460.17,8049.93,8030.82,8049.93,8418.15,8214.62,8712.02
2002-08-08,8717.42,8282.25,8049.93,8214.62,8460.17,8430.33,8745.45
2002-08-09,8796.68,8456.29,8214.62,8430.33,8717.42,8575.98,8688.89
2002-08-12,8742.06,8707.24,8430.33,8575.98,8796.68,8582.01,8482.46
2002-08-13,8745.52,8741.92,8575.98,8582.01,8742.06,8473.32,8743.31
2002-08-14,8748.29,8683.15,8582.01,8473.32,8745.52,8353.07,8818.14
2002-08-15,8854.21,8479.14,8473.32,8353.07,8748.29,8687.92,8778.06
2002-08-16,8837.52,8745.04,8353.07,8687.92,8854.21,8709.39,8990.79
2002-08-19,8994.12,8813.07,8687.92,8709.39,8837.52,8753.52,8872.07
2002-08-20,8986.5,8777.09,8709.39,8753.52,8994.12,8822.02,8957.02
2002-08-21,8974.36,8986.5,8753.52,8822.02,8986.5,8798.89,9053.64
2002-08-22,9077.01,8866.14,8822.02,8798.89,8974.36,8926.92,8872.96
2002-08-23,9051.49,8961.18,8798.89,8926.92,9077.01,8829.96,8919.01
2002-08-26,8949.53,9051.49,8926.92,8829.96,9051.49,8756.02,8824.41
2002-08-27,9017.02,8873.93,8829.96,8756.02,8949.53,8782.03,8694.09
2002-08-28,8823.99,8917.49,8756.02,8782.03,9017.02,8646.19,8670.99
2002-08-29,8742.01,8823.93,8782.03,8646.19,8823.99,8558.02,8663.5
2002-08-30,8783.35,8690.69,8646.19,8558.02,8742.01,8605.87,8308.05
2002-09-03,8659.27,8669.26,8558.02,8605.87,8783.35,8304.3,8425.12
2002-09-04,8452.59,8659.27,8605.87,8304.3,8659.27,8280.4,8283.7
2002-09-05,8420.2,8308.53,8304.3,8280.4,8452.59,8217.05,8427.2
2002-09-06,8474.71,8420.2,8280.4,8217.05,8420.2,8296.46,8519.38
2002-09-09,8558.01,8296.46,8217.05,8296.46,8474.71,8315.67,8602.61
