,Feature Selection,Min_rmse,Threshold,Top_k,Number_of_Feature,Improving_all,Improving_raw,Improving_pacf
LR,RFR,1341.8376959377629,0.8,6,18,0.178,-0.003,0.073
LR,MIX,1343.3297543447059,0.85,5,20,0.177,-0.004,0.072
LR,LGB,1343.4016709951509,0.85,3,9,0.177,-0.004,0.072
LR,XGB,1350.3296860639564,0.85,7,25,0.173,-0.009,0.067
ANN,LGB,1314.0530494431225,0.9,3,9,0.206,0.127,0.268
ANN,XGB,1331.0754956750181,0.8,5,18,0.196,0.116,0.259
ANN,MIX,1337.556579553842,0.8,5,19,0.192,0.112,0.255
ANN,RFR,1350.8797805247564,0.9,4,14,0.184,0.103,0.248
LGB,RFR,1324.1228838310046,0.8,9,27,0.203,0.015,0.24
LGB,LGB,1339.3444290098491,0.7,8,31,0.194,0.004,0.231
LGB,MIX,1365.7583838530443,0.7,10,34,0.178,-0.016,0.216
LGB,XGB,1374.8164932170148,0.85,4,13,0.173,-0.023,0.211
XGB,RFR,1322.1529074389396,0.7,4,12,0.051,0.0,0.091
XGB,LGB,1337.3512537795218,0.7,10,34,0.04,-0.011,0.08
XGB,MIX,1348.2670935904803,0.7,6,22,0.032,-0.02,0.073
XGB,XGB,1361.2906344053815,0.7,10,32,0.022,-0.03,0.064
RF,XGB,1328.7847849502957,0.7,10,32,0.067,0.003,0.056
RF,RFR,1349.7202294471251,0.7,10,28,0.052,-0.013,0.041
RF,LGB,1351.4847109839666,0.95,2,7,0.051,-0.014,0.04
RF,MIX,1354.6405951580068,0.7,8,28,0.049,-0.016,0.038
SVR,LGB,1303.660248700711,0.85,3,9,0.196,0.042,0.312
SVR,RFR,1316.7951298613232,0.75,4,11,0.187,0.032,0.305
SVR,MIX,1329.7465255578645,0.9,2,8,0.179,0.022,0.298
SVR,XGB,1333.171349348155,0.8,6,22,0.177,0.02,0.296
